20001,갈한수,010-4682-9422,경남 김해시 어방동 1088-7,2,D003,법학
20002,강이찬,010-4192-1470,강원도 속초시 대포동 956-5,3,D005,컴퓨터공학
20003,개원훈,010-3828-3745,경북 영천시 문외동 38-3번,2,D001,관광학
20004,경시현,010-5736-9613,서울시 구로구 구로동 3-35번지,4,D003,법학
20005,공동영,010-6434-2330,강원도 동해시 천곡동 1077-3,2,D004,전자공학
20006,기대연,010-9070-7117,대구 수성구 수성3가 322-1번지,4,D004,전자공학
20007,기원호,010-2257-5452,울산시 울주군 서생면 간절곶해안길 205,4,D001,관광학
20008,기은성,010-3686-0282,거제시 장승포동 702-4,4,D004,전자공학
20009,나한율,010-4853-5438,경기도 이천시 창전동 166-13번지,4,D005,컴퓨터공학
20010,남동예,010-6212-1066,경남 밀양시 내일동 649-7,2,D005,컴퓨터공학
20011,낭시우,010-6673-4105,경기도 파주시 문산읍 문산리 61-35번지,4,D005,컴퓨터공학
20012,내세원,010-1977-4425,충북 증평군 증평읍 창동리 65번지,4,D004,전자공학
20013,뇌성수,010-1758-0839,제주시 연동 1482번지,4,D003,법학
20014,단수혁,010-8055-2859,울산시 남구 옥동 143-12,1,D002,국어국문
20015,담성민,010-7270-5520,강원도 속초시 중앙로 150-1,2,D004,전자공학
20016,담원준,010-6676-6428,전남 나주시 대호동 1029-2,4,D003,법학
20017,담장호,010-4044-2363,경북 구미시 옥계동 840번지,2,D004,전자공학
20018,독고예준,010-1048-2234,경기도 이천시 신둔면 용면리 120번지,2,D005,컴퓨터공학
20019,돈송혁,010-9137-9014,충북 충주시 가금면 용전리 92번지,2,D005,컴퓨터공학
20020,돈재현,010-1222-4497,제주특별자치도 서귀포시 대정읍 상모리 133-8 번지,1,D005,컴퓨터공학
20021,두동환,010-3069-4123,경기도 파주시 금촌동 987-6번지,1,D004,전자공학
20022,두채훈,010-2525-4657,제주특별자치도 서귀포시 대정읍 상모리 133 번지,2,D001,관광학
20023,명윤일,010-3569-2431,서울시 강서구 화곡동 1006-9,3,D004,전자공학
20024,모재원,010-2953-3938,서울시 강서구 가양동 1479-9,1,D004,전자공학
20025,문은진,010-9814-9350,인천시 서구 검암동 606-7,4,D003,법학
20026,박수혁,010-3961-1701,경기도 화성시 능동 445-2,1,D003,법학
20027,방윤후,010-1391-4001,경기도 고양시 일산동구 장항동 86,2,D002,국어국문
20028,방채호,010-3597-0541,서울시 관악구 신림동 1640-3,2,D001,관광학
20029,배세준,010-5096-7388,경기도 양평군 양평읍 양근리 201-15,4,D001,관광학
20030,배채호,010-8324-2258,대구시 동구 율하동 1223,1,D001,관광학
20031,변재호,010-7748-5382,전북 부안군 변산면 격포리 290-1,1,D002,국어국문
